config,n_uavs,ld_mean,ld_std
ppo_gomdp,5,39.2,2.9
ppo_gomdp,10,24.8,1.8
ppo_gomdp,20,15.1,1.1
ppo_gomdp,40,9.8,0.8
greedy_gomdp,5,47.1,3.5
greedy_gomdp,10,30.2,2.2
greedy_gomdp,20,18.3,1.4
greedy_gomdp,40,10.1,0.9
ppo_cmdp,5,38.8,2.8
ppo_cmdp,10,24.4,1.8
ppo_cmdp,20,14.8,1.0
ppo_cmdp,40,9.6,0.8
wcsac,5,39.5,2.9
wcsac,10,25.1,1.9
wcsac,20,14.6,1.2
wcsac,40,9.9,0.8
adaptive_ai,5,42.5,3.1
adaptive_ai,10,27.1,2.0
adaptive_ai,20,16.2,1.2
adaptive_ai,40,11.3,0.9
static,5,64.2,4.8
static,10,52.8,3.9
static,20,41.5,3.1
static,40,36.4,2.7
