seed,config,n_uavs,fp_pct
0,PPO-GOMDP,5,6.0637
1,PPO-GOMDP,5,4.6273
2,PPO-GOMDP,5,7.6722
3,PPO-GOMDP,5,7.835
4,PPO-GOMDP,5,6.6184
5,PPO-GOMDP,5,7.3998
6,PPO-GOMDP,5,8.9501
7,PPO-GOMDP,5,8.2003
8,PPO-GOMDP,5,7.7926
9,PPO-GOMDP,5,7.7696
10,PPO-GOMDP,5,5.979
11,PPO-GOMDP,5,8.0885
12,PPO-GOMDP,5,5.073
13,PPO-GOMDP,5,6.5925
14,PPO-GOMDP,5,6.4711
15,PPO-GOMDP,5,4.9807
16,PPO-GOMDP,5,6.8485
17,PPO-GOMDP,5,8.8728
18,PPO-GOMDP,5,6.5832
19,PPO-GOMDP,5,5.5819
0,PPO-GOMDP,10,5.6243
1,PPO-GOMDP,10,4.2919
2,PPO-GOMDP,10,7.1163
3,PPO-GOMDP,10,7.2672
4,PPO-GOMDP,10,6.1388
5,PPO-GOMDP,10,6.8636
6,PPO-GOMDP,10,8.3015
7,PPO-GOMDP,10,7.6061
8,PPO-GOMDP,10,7.2279
9,PPO-GOMDP,10,7.2066
10,PPO-GOMDP,10,5.5457
11,PPO-GOMDP,10,7.5024
12,PPO-GOMDP,10,4.7054
13,PPO-GOMDP,10,6.1148
14,PPO-GOMDP,10,6.0021
15,PPO-GOMDP,10,4.6197
16,PPO-GOMDP,10,6.3522
17,PPO-GOMDP,10,8.2299
18,PPO-GOMDP,10,6.1061
19,PPO-GOMDP,10,5.1774
0,PPO-GOMDP,20,5.2728
1,PPO-GOMDP,20,4.0237
2,PPO-GOMDP,20,6.6715
3,PPO-GOMDP,20,6.813
4,PPO-GOMDP,20,5.7551
5,PPO-GOMDP,20,6.4346
6,PPO-GOMDP,20,7.7827
7,PPO-GOMDP,20,7.1307
8,PPO-GOMDP,20,6.7762
9,PPO-GOMDP,20,6.7562
10,PPO-GOMDP,20,5.1991
11,PPO-GOMDP,20,7.0335
12,PPO-GOMDP,20,4.4113
13,PPO-GOMDP,20,5.7326
14,PPO-GOMDP,20,5.627
15,PPO-GOMDP,20,4.331
16,PPO-GOMDP,20,5.9552
17,PPO-GOMDP,20,7.7155
18,PPO-GOMDP,20,5.7245
19,PPO-GOMDP,20,4.8538
0,PPO-GOMDP,40,6.0859
1,PPO-GOMDP,40,4.793
2,PPO-GOMDP,40,7.1881
3,PPO-GOMDP,40,5.82
4,PPO-GOMDP,40,6.3514
5,PPO-GOMDP,40,5.6976
6,PPO-GOMDP,40,5.3959
7,PPO-GOMDP,40,5.8537
8,PPO-GOMDP,40,6.0085
9,PPO-GOMDP,40,7.1124
10,PPO-GOMDP,40,5.8804
11,PPO-GOMDP,40,3.8002
12,PPO-GOMDP,40,5.3745
13,PPO-GOMDP,40,5.1161
14,PPO-GOMDP,40,5.5802
15,PPO-GOMDP,40,4.778
16,PPO-GOMDP,40,5.5228
17,PPO-GOMDP,40,5.624
18,PPO-GOMDP,40,5.2509
19,PPO-GOMDP,40,6.7665
0,Greedy-GOMDP,5,6.0138
1,Greedy-GOMDP,5,4.3198
2,Greedy-GOMDP,5,7.9106
3,Greedy-GOMDP,5,8.1026
4,Greedy-GOMDP,5,6.6678
5,Greedy-GOMDP,5,7.5894
6,Greedy-GOMDP,5,9.4177
7,Greedy-GOMDP,5,8.5334
8,Greedy-GOMDP,5,8.0527
9,Greedy-GOMDP,5,8.0256
10,Greedy-GOMDP,5,5.9139
11,Greedy-GOMDP,5,8.4016
12,Greedy-GOMDP,5,4.8455
13,Greedy-GOMDP,5,6.6374
14,Greedy-GOMDP,5,6.4942
15,Greedy-GOMDP,5,4.7365
16,Greedy-GOMDP,5,6.9392
17,Greedy-GOMDP,5,9.3265
18,Greedy-GOMDP,5,6.6264
19,Greedy-GOMDP,5,5.4456
0,Greedy-GOMDP,10,5.5843
1,Greedy-GOMDP,10,4.0113
2,Greedy-GOMDP,10,7.3456
3,Greedy-GOMDP,10,7.5238
4,Greedy-GOMDP,10,6.1915
5,Greedy-GOMDP,10,7.0473
6,Greedy-GOMDP,10,8.745
7,Greedy-GOMDP,10,7.9238
8,Greedy-GOMDP,10,7.4775
9,Greedy-GOMDP,10,7.4523
10,Greedy-GOMDP,10,5.4914
11,Greedy-GOMDP,10,7.8015
12,Greedy-GOMDP,10,4.4994
13,Greedy-GOMDP,10,6.1633
14,Greedy-GOMDP,10,6.0303
15,Greedy-GOMDP,10,4.3982
16,Greedy-GOMDP,10,6.4435
17,Greedy-GOMDP,10,8.6604
18,Greedy-GOMDP,10,6.1531
19,Greedy-GOMDP,10,5.0566
0,Greedy-GOMDP,20,5.2406
1,Greedy-GOMDP,20,3.7644
2,Greedy-GOMDP,20,6.8935
3,Greedy-GOMDP,20,7.0608
4,Greedy-GOMDP,20,5.8105
5,Greedy-GOMDP,20,6.6136
6,Greedy-GOMDP,20,8.2068
7,Greedy-GOMDP,20,7.4362
8,Greedy-GOMDP,20,7.0173
9,Greedy-GOMDP,20,6.9937
10,Greedy-GOMDP,20,5.1535
11,Greedy-GOMDP,20,7.3214
12,Greedy-GOMDP,20,4.2225
13,Greedy-GOMDP,20,5.784
14,Greedy-GOMDP,20,5.6592
15,Greedy-GOMDP,20,4.1275
16,Greedy-GOMDP,20,6.047
17,Greedy-GOMDP,20,8.1274
18,Greedy-GOMDP,20,5.7744
19,Greedy-GOMDP,20,4.7454
0,Greedy-GOMDP,40,6.2341
1,Greedy-GOMDP,40,4.7796
2,Greedy-GOMDP,40,7.4742
3,Greedy-GOMDP,40,5.935
4,Greedy-GOMDP,40,6.5328
5,Greedy-GOMDP,40,5.7973
6,Greedy-GOMDP,40,5.4579
7,Greedy-GOMDP,40,5.9729
8,Greedy-GOMDP,40,6.1471
9,Greedy-GOMDP,40,7.3889
10,Greedy-GOMDP,40,6.003
11,Greedy-GOMDP,40,3.6628
12,Greedy-GOMDP,40,5.4338
13,Greedy-GOMDP,40,5.1431
14,Greedy-GOMDP,40,5.6652
