seed,config,n_uavs,ld
0,ppo_gomdp,5,38.6776
1,ppo_gomdp,5,35.3475
2,ppo_gomdp,5,40.8286
3,ppo_gomdp,5,40.5971
4,ppo_gomdp,5,39.1535
5,ppo_gomdp,5,35.0237
6,ppo_gomdp,5,36.7101
7,ppo_gomdp,5,36.97
8,ppo_gomdp,5,38.6112
9,ppo_gomdp,5,41.2536
10,ppo_gomdp,5,44.1354
11,ppo_gomdp,5,35.2933
12,ppo_gomdp,5,44.0942
13,ppo_gomdp,5,35.9204
14,ppo_gomdp,5,38.7334
15,ppo_gomdp,5,39.6296
16,ppo_gomdp,5,41.1621
17,ppo_gomdp,5,42.8383
18,ppo_gomdp,5,36.7827
19,ppo_gomdp,5,42.2376
0,ppo_gomdp,10,24.4758
1,ppo_gomdp,10,22.4088
2,ppo_gomdp,10,25.8109
3,ppo_gomdp,10,25.6672
4,ppo_gomdp,10,24.7711
5,ppo_gomdp,10,22.2078
6,ppo_gomdp,10,23.2545
7,ppo_gomdp,10,23.4158
8,ppo_gomdp,10,24.4345
9,ppo_gomdp,10,26.0747
10,ppo_gomdp,10,27.8634
11,ppo_gomdp,10,22.3751
12,ppo_gomdp,10,27.8378
13,ppo_gomdp,10,22.7644
14,ppo_gomdp,10,24.5104
15,ppo_gomdp,10,25.0666
16,ppo_gomdp,10,26.0179
17,ppo_gomdp,10,27.0583
18,ppo_gomdp,10,23.2996
19,ppo_gomdp,10,26.6854
0,ppo_gomdp,20,14.9019
1,ppo_gomdp,20,13.6387
2,ppo_gomdp,20,15.7178
3,ppo_gomdp,20,15.6299
4,ppo_gomdp,20,15.0824
5,ppo_gomdp,20,13.5159
6,ppo_gomdp,20,14.1555
7,ppo_gomdp,20,14.2541
8,ppo_gomdp,20,14.8767
9,ppo_gomdp,20,15.879
10,ppo_gomdp,20,16.9721
11,ppo_gomdp,20,13.6181
12,ppo_gomdp,20,16.9564
13,ppo_gomdp,20,13.856
14,ppo_gomdp,20,14.923
15,ppo_gomdp,20,15.2629
16,ppo_gomdp,20,15.8443
17,ppo_gomdp,20,16.4801
18,ppo_gomdp,20,14.1831
19,ppo_gomdp,20,16.2522
0,ppo_gomdp,40,9.6559
1,ppo_gomdp,40,8.7372
2,ppo_gomdp,40,10.2493
3,ppo_gomdp,40,10.1854
4,ppo_gomdp,40,9.7872
5,ppo_gomdp,40,8.6479
6,ppo_gomdp,40,9.1131
7,ppo_gomdp,40,9.1848
8,ppo_gomdp,40,9.6376
9,ppo_gomdp,40,10.3665
10,ppo_gomdp,40,11.1615
11,ppo_gomdp,40,8.7223
12,ppo_gomdp,40,11.1501
13,ppo_gomdp,40,8.8953
14,ppo_gomdp,40,9.6713
15,ppo_gomdp,40,9.9185
16,ppo_gomdp,40,10.3413
17,ppo_gomdp,40,10.8037
18,ppo_gomdp,40,9.1331
19,ppo_gomdp,40,10.638
0,greedy_gomdp,5,46.4695
1,greedy_gomdp,5,42.4504
2,greedy_gomdp,5,49.0656
3,greedy_gomdp,5,48.7862
4,greedy_gomdp,5,47.0438
5,greedy_gomdp,5,42.0597
6,greedy_gomdp,5,44.0949
7,greedy_gomdp,5,44.4086
8,greedy_gomdp,5,46.3894
9,greedy_gomdp,5,49.5785
10,greedy_gomdp,5,53.0566
11,greedy_gomdp,5,42.385
12,greedy_gomdp,5,53.0068
13,greedy_gomdp,5,43.1418
14,greedy_gomdp,5,46.5369
15,greedy_gomdp,5,47.6185
