seed,architecture,ld,episodes_to_convergence,parameters
0,MLP (main),16.0496,≈ 650,2.6M
1,MLP (main),15.4282,≈ 650,2.6M
2,MLP (main),15.4667,≈ 650,2.6M
3,MLP (main),15.8455,≈ 650,2.6M
4,MLP (main),14.6319,≈ 650,2.6M
5,MLP (main),15.789,≈ 650,2.6M
6,MLP (main),12.5476,≈ 650,2.6M
7,MLP (main),15.8187,≈ 650,2.6M
8,MLP (main),14.7222,≈ 650,2.6M
9,MLP (main),15.3039,≈ 650,2.6M
10,MLP (main),15.5033,≈ 650,2.6M
11,MLP (main),13.2574,≈ 650,2.6M
12,MLP (main),15.5647,≈ 650,2.6M
13,MLP (main),15.0312,≈ 650,2.6M
14,MLP (main),14.8725,≈ 650,2.6M
15,MLP (main),17.1986,≈ 650,2.6M
16,MLP (main),16.4107,≈ 650,2.6M
17,MLP (main),14.1518,≈ 650,2.6M
18,MLP (main),13.5246,≈ 650,2.6M
19,MLP (main),14.8819,≈ 650,2.6M
0,CNN,15.7633,≈ 480,0.4M
1,CNN,15.1984,≈ 480,0.4M
2,CNN,15.2333,≈ 480,0.4M
3,CNN,15.5777,≈ 480,0.4M
4,CNN,14.4745,≈ 480,0.4M
5,CNN,15.5264,≈ 480,0.4M
6,CNN,12.5796,≈ 480,0.4M
7,CNN,15.5533,≈ 480,0.4M
8,CNN,14.5565,≈ 480,0.4M
9,CNN,15.0854,≈ 480,0.4M
10,CNN,15.2667,≈ 480,0.4M
11,CNN,13.2249,≈ 480,0.4M
12,CNN,15.3225,≈ 480,0.4M
13,CNN,14.8374,≈ 480,0.4M
14,CNN,14.6932,≈ 480,0.4M
15,CNN,16.8078,≈ 480,0.4M
16,CNN,16.0916,≈ 480,0.4M
17,CNN,14.038,≈ 480,0.4M
18,CNN,13.4678,≈ 480,0.4M
19,CNN,14.7017,≈ 480,0.4M
