seed,method,framework,ld,fp_pct,fn_pct,compliance_pct,enforcement
0,PPO-GOMDP,GOMDP,13.6804,5.2728,2.3741,100.0,Crypto
1,PPO-GOMDP,GOMDP,15.1895,4.0237,3.528,100.0,Crypto
2,PPO-GOMDP,GOMDP,15.7016,6.6715,2.6215,100.0,Crypto
3,PPO-GOMDP,GOMDP,15.4546,6.813,1.0948,100.0,Crypto
4,PPO-GOMDP,GOMDP,13.8849,5.7551,1.4596,100.0,Crypto
5,PPO-GOMDP,GOMDP,16.0042,6.4346,2.5507,100.0,Crypto
6,PPO-GOMDP,GOMDP,15.6188,7.7827,1.8719,100.0,Crypto
7,PPO-GOMDP,GOMDP,15.6225,7.1307,2.7992,100.0,Crypto
8,PPO-GOMDP,GOMDP,15.6643,6.7762,0.4483,100.0,Crypto
9,PPO-GOMDP,GOMDP,16.039,6.7562,3.4894,100.0,Crypto
10,PPO-GOMDP,GOMDP,17.2263,5.1991,3.3185,100.0,Crypto
11,PPO-GOMDP,GOMDP,14.2498,7.0335,0.8188,100.0,Crypto
12,PPO-GOMDP,GOMDP,14.9366,4.4113,1.6829,100.0,Crypto
13,PPO-GOMDP,GOMDP,16.7166,5.7326,1.4522,100.0,Crypto
14,PPO-GOMDP,GOMDP,13.4922,5.627,1.6281,100.0,Crypto
15,PPO-GOMDP,GOMDP,15.2269,4.331,2.6517,100.0,Crypto
16,PPO-GOMDP,GOMDP,14.1688,5.9552,1.5401,100.0,Crypto
17,PPO-GOMDP,GOMDP,14.8667,7.7155,1.2381,100.0,Crypto
18,PPO-GOMDP,GOMDP,15.3824,5.7245,2.4726,100.0,Crypto
19,PPO-GOMDP,GOMDP,12.8737,4.8538,2.9594,100.0,Crypto
0,Greedy-GOMDP,GOMDP,16.4932,5.2406,2.6046,100.0,Crypto
1,Greedy-GOMDP,GOMDP,18.414,3.7644,3.8866,100.0,Crypto
2,Greedy-GOMDP,GOMDP,19.0657,6.8935,2.8794,100.0,Crypto
3,Greedy-GOMDP,GOMDP,18.7513,7.0608,1.1831,100.0,Crypto
