seed,config,ld,fp_pct,injections_blocked,injections_total
0,PPO-GOMDP (full),15.6625,7.8203,100,100
1,PPO-GOMDP (full),14.7781,5.4148,100,100
2,PPO-GOMDP (full),14.6855,4.0265,100,100
3,PPO-GOMDP (full),15.6208,5.2315,100,100
4,PPO-GOMDP (full),16.4963,7.6287,100,100
5,PPO-GOMDP (full),15.7405,6.2589,100,100
6,PPO-GOMDP (full),14.9439,5.724,100,100
7,PPO-GOMDP (full),13.5174,6.1694,100,100
8,PPO-GOMDP (full),14.3625,6.2855,100,100
9,PPO-GOMDP (full),14.5164,6.941,100,100
10,PPO-GOMDP (full),16.6623,6.0955,100,100
11,PPO-GOMDP (full),12.7492,7.2388,100,100
12,PPO-GOMDP (full),15.9374,5.4877,100,100
13,PPO-GOMDP (full),14.7015,5.9412,100,100
14,PPO-GOMDP (full),15.8769,5.4686,100,100
15,PPO-GOMDP (full),12.9992,6.0527,100,100
16,PPO-GOMDP (full),15.0524,7.947,100,100
17,PPO-GOMDP (full),15.964,4.3969,100,100
18,PPO-GOMDP (full),15.3258,4.5261,100,100
19,PPO-GOMDP (full),16.4074,5.345,100,100
0,Greedy-GOMDP (full),19.0159,8.2513,100,100
1,Greedy-GOMDP (full),17.8903,5.4084,100,100
2,Greedy-GOMDP (full),17.7724,3.7677,100,100
3,Greedy-GOMDP (full),18.9629,5.1917,100,100
4,Greedy-GOMDP (full),20.0771,8.0249,100,100
5,Greedy-GOMDP (full),19.1152,6.406,100,100
6,Greedy-GOMDP (full),18.1013,5.7738,100,100
7,Greedy-GOMDP (full),16.2858,6.3002,100,100
8,Greedy-GOMDP (full),17.3614,6.4374,100,100
9,Greedy-GOMDP (full),17.5573,7.2121,100,100
10,Greedy-GOMDP (full),20.2884,6.2129,100,100
11,Greedy-GOMDP (full),15.308,7.564,100,100
12,Greedy-GOMDP (full),19.3658,5.4945,100,100
13,Greedy-GOMDP (full),17.7928,6.0305,100,100
14,Greedy-GOMDP (full),19.2888,5.4719,100,100
15,Greedy-GOMDP (full),15.6262,6.1622,100,100
16,Greedy-GOMDP (full),18.2394,8.401,100,100
17,Greedy-GOMDP (full),19.3997,4.2054,100,100
18,Greedy-GOMDP (full),18.5873,4.3581,100,100
19,Greedy-GOMDP (full),19.9639,5.3259,100,100
0,- Adaptive coordination,31.0296,8.0858,100,100
1,- Adaptive coordination,28.9391,5.4616,100,100
2,- Adaptive coordination,28.7202,3.9471,100,100
3,- Adaptive coordination,30.9311,5.2616,100,100
4,- Adaptive coordination,33.0003,7.8768,100,100
5,- Adaptive coordination,31.2139,6.3824,100,100
6,- Adaptive coordination,29.331,5.7989,100,100
7,- Adaptive coordination,25.9594,6.2848,100,100
8,- Adaptive coordination,27.9568,6.4114,100,100
9,- Adaptive coordination,28.3206,7.1265,100,100
10,- Adaptive coordination,33.3928,6.2042,100,100
11,- Adaptive coordination,24.1435,7.4514,100,100
12,- Adaptive coordination,31.6794,5.5411,100,100
13,- Adaptive coordination,28.7581,6.0359,100,100
14,- Adaptive coordination,31.5364,5.5202,100,100
15,- Adaptive coordination,24.7344,6.1574,100,100
16,- Adaptive coordination,29.5874,8.224,100,100
17,- Adaptive coordination,31.7423,4.3512,100,100
