seed,method,framework,ld,fp_pct,governance_compliance_pct
0,PPO-GOMDP,GOMDP,13.6804,5.2728,100.0
1,PPO-GOMDP,GOMDP,15.1895,4.0237,100.0
2,PPO-GOMDP,GOMDP,15.7016,6.6715,100.0
3,PPO-GOMDP,GOMDP,15.4546,6.813,100.0
4,PPO-GOMDP,GOMDP,13.8849,5.7551,100.0
5,PPO-GOMDP,GOMDP,16.0042,6.4346,100.0
6,PPO-GOMDP,GOMDP,15.6188,7.7827,100.0
7,PPO-GOMDP,GOMDP,15.6225,7.1307,100.0
8,PPO-GOMDP,GOMDP,15.6643,6.7762,100.0
9,PPO-GOMDP,GOMDP,16.039,6.7562,100.0
10,PPO-GOMDP,GOMDP,17.2263,5.1991,100.0
11,PPO-GOMDP,GOMDP,14.2498,7.0335,100.0
12,PPO-GOMDP,GOMDP,14.9366,4.4113,100.0
13,PPO-GOMDP,GOMDP,16.7166,5.7326,100.0
14,PPO-GOMDP,GOMDP,13.4922,5.627,100.0
15,PPO-GOMDP,GOMDP,15.2269,4.331,100.0
16,PPO-GOMDP,GOMDP,14.1688,5.9552,100.0
17,PPO-GOMDP,GOMDP,14.8667,7.7155,100.0
18,PPO-GOMDP,GOMDP,15.3824,5.7245,100.0
19,PPO-GOMDP,GOMDP,12.8737,4.8538,100.0
0,Greedy-GOMDP,GOMDP,16.4932,5.2406,100.0
1,Greedy-GOMDP,GOMDP,18.414,3.7644,100.0
2,Greedy-GOMDP,GOMDP,19.0657,6.8935,100.0
3,Greedy-GOMDP,GOMDP,18.7513,7.0608,100.0
4,Greedy-GOMDP,GOMDP,16.7535,5.8105,100.0
5,Greedy-GOMDP,GOMDP,19.4508,6.6136,100.0
6,Greedy-GOMDP,GOMDP,18.9603,8.2068,100.0
7,Greedy-GOMDP,GOMDP,18.965,7.4362,100.0
8,Greedy-GOMDP,GOMDP,19.0182,7.0173,100.0
9,Greedy-GOMDP,GOMDP,19.495,6.9937,100.0
10,Greedy-GOMDP,GOMDP,21.0061,5.1535,100.0
11,Greedy-GOMDP,GOMDP,17.2179,7.3214,100.0
12,Greedy-GOMDP,GOMDP,18.0921,4.2225,100.0
13,Greedy-GOMDP,GOMDP,20.3575,5.784,100.0
14,Greedy-GOMDP,GOMDP,16.2537,5.6592,100.0
15,Greedy-GOMDP,GOMDP,18.4615,4.1275,100.0
16,Greedy-GOMDP,GOMDP,17.1149,6.047,100.0
17,Greedy-GOMDP,GOMDP,18.0031,8.1274,100.0
18,Greedy-GOMDP,GOMDP,18.6595,5.7744,100.0
19,Greedy-GOMDP,GOMDP,15.4666,4.7454,100.0
0,Central+Sig,GOMDP,13.5804,5.2067,100.0
1,Central+Sig,GOMDP,15.0895,3.8441,100.0
2,Central+Sig,GOMDP,15.6016,6.7325,100.0
3,Central+Sig,GOMDP,15.3546,6.8869,100.0
4,Central+Sig,GOMDP,13.7849,5.7328,100.0
5,Central+Sig,GOMDP,15.9042,6.4741,100.0
6,Central+Sig,GOMDP,15.5188,7.9447,100.0
7,Central+Sig,GOMDP,15.5225,7.2334,100.0
8,Central+Sig,GOMDP,15.5643,6.8468,100.0
9,Central+Sig,GOMDP,15.939,6.825,100.0
10,Central+Sig,GOMDP,17.1263,5.1263,100.0
11,Central+Sig,GOMDP,14.1498,7.1275,100.0
12,Central+Sig,GOMDP,14.8366,4.2669,100.0
13,Central+Sig,GOMDP,16.6166,5.7083,100.0
14,Central+Sig,GOMDP,13.3922,5.5931,100.0
15,Central+Sig,GOMDP,15.1269,4.1792,100.0
16,Central+Sig,GOMDP,14.0688,5.9511,100.0
17,Central+Sig,GOMDP,14.7667,7.8714,100.0
18,Central+Sig,GOMDP,15.2824,5.6995,100.0
19,Central+Sig,GOMDP,12.7737,4.7496,100.0
0,Shield-PPO,Logical,13.6513,5.3406,100.0
1,Shield-PPO,Logical,15.2977,3.8644,100.0
2,Shield-PPO,Logical,15.8563,6.9935,100.0
3,Shield-PPO,Logical,15.5869,7.1608,100.0
4,Shield-PPO,Logical,13.8745,5.9105,100.0
5,Shield-PPO,Logical,16.1864,6.7136,100.0
6,Shield-PPO,Logical,15.766,8.3068,100.0
7,Shield-PPO,Logical,15.77,7.5362,100.0
8,Shield-PPO,Logical,15.8156,7.1173,100.0
9,Shield-PPO,Logical,16.2243,7.0937,100.0
