seed,attack_type,parameter,gomdp,central_sig,central,metric
0,No attack,---,5.9079,5.9079,23.8838,fp_pct
1,No attack,---,4.776,4.776,20.253,fp_pct
2,No attack,---,6.3098,6.3098,19.8521,fp_pct
3,No attack,---,6.3548,6.3548,21.3105,fp_pct
4,No attack,---,6.2666,6.2666,23.0274,fp_pct
5,No attack,---,5.1697,5.1697,19.975,fp_pct
6,No attack,---,4.7004,4.7004,24.0999,fp_pct
7,No attack,---,5.0577,5.0577,22.3001,fp_pct
8,No attack,---,6.805,6.805,23.0405,fp_pct
9,No attack,---,5.8973,5.8973,21.7623,fp_pct
10,No attack,---,5.1792,5.1792,22.5379,fp_pct
11,No attack,---,4.9441,4.9441,22.6003,fp_pct
12,No attack,---,7.6409,7.6409,16.8243,fp_pct
13,No attack,---,6.5508,6.5508,24.6117,fp_pct
14,No attack,---,7.5759,7.5759,23.2698,fp_pct
15,No attack,---,6.8528,6.8528,22.0366,fp_pct
16,No attack,---,3.3925,3.3925,26.1572,fp_pct
17,No attack,---,6.5403,6.5403,23.773,fp_pct
18,No attack,---,7.1391,7.1391,24.8595,fp_pct
19,No attack,---,6.9391,6.9391,21.825,fp_pct
0,Spoofing (i.i.d.),p=0.05,6.5995,6.5995,28.4958,fp_pct
1,Spoofing (i.i.d.),p=0.05,5.3647,5.3647,24.3463,fp_pct
2,Spoofing (i.i.d.),p=0.05,7.038,7.038,23.8881,fp_pct
3,Spoofing (i.i.d.),p=0.05,7.0871,7.0871,25.5549,fp_pct
4,Spoofing (i.i.d.),p=0.05,6.9908,6.9908,27.5171,fp_pct
5,Spoofing (i.i.d.),p=0.05,5.7942,5.7942,24.0285,fp_pct
6,Spoofing (i.i.d.),p=0.05,5.2823,5.2823,28.7428,fp_pct
7,Spoofing (i.i.d.),p=0.05,5.6721,5.6721,26.6858,fp_pct
8,Spoofing (i.i.d.),p=0.05,7.5781,7.5781,27.532,fp_pct
9,Spoofing (i.i.d.),p=0.05,6.588,6.588,26.0712,fp_pct
10,Spoofing (i.i.d.),p=0.05,5.8045,5.8045,26.9576,fp_pct
11,Spoofing (i.i.d.),p=0.05,5.5481,5.5481,27.0289,fp_pct
12,Spoofing (i.i.d.),p=0.05,8.4901,8.4901,20.4278,fp_pct
13,Spoofing (i.i.d.),p=0.05,7.3008,7.3008,29.3277,fp_pct
14,Spoofing (i.i.d.),p=0.05,8.4192,8.4192,27.794,fp_pct
15,Spoofing (i.i.d.),p=0.05,7.6303,7.6303,26.3847,fp_pct
16,Spoofing (i.i.d.),p=0.05,3.8555,3.8555,31.094,fp_pct
17,Spoofing (i.i.d.),p=0.05,7.2895,7.2895,28.3691,fp_pct
18,Spoofing (i.i.d.),p=0.05,7.9427,7.9427,29.6108,fp_pct
19,Spoofing (i.i.d.),p=0.05,7.7244,7.7244,26.1429,fp_pct
0,Spoofing (i.i.d.),p=0.10,7.6912,7.6912,33.2491,fp_pct
1,Spoofing (i.i.d.),p=0.10,6.3534,6.3534,28.2351,fp_pct
2,Spoofing (i.i.d.),p=0.10,8.1662,8.1662,27.6815,fp_pct
3,Spoofing (i.i.d.),p=0.10,8.2193,8.2193,29.6955,fp_pct
4,Spoofing (i.i.d.),p=0.10,8.115,8.115,32.0665,fp_pct
5,Spoofing (i.i.d.),p=0.10,6.8187,6.8187,27.8512,fp_pct
6,Spoofing (i.i.d.),p=0.10,6.2642,6.2642,33.5475,fp_pct
7,Spoofing (i.i.d.),p=0.10,6.6864,6.6864,31.062,fp_pct
8,Spoofing (i.i.d.),p=0.10,8.7513,8.7513,32.0845,fp_pct
9,Spoofing (i.i.d.),p=0.10,7.6787,7.6787,30.3194,fp_pct
10,Spoofing (i.i.d.),p=0.10,6.8299,6.8299,31.3905,fp_pct
11,Spoofing (i.i.d.),p=0.10,6.5521,6.5521,31.4766,fp_pct
12,Spoofing (i.i.d.),p=0.10,9.7393,9.7393,23.5003,fp_pct
13,Spoofing (i.i.d.),p=0.10,8.4509,8.4509,34.2543,fp_pct
14,Spoofing (i.i.d.),p=0.10,9.6624,9.6624,32.4011,fp_pct
15,Spoofing (i.i.d.),p=0.10,8.8078,8.8078,30.6982,fp_pct
16,Spoofing (i.i.d.),p=0.10,4.7184,4.7184,36.3885,fp_pct
17,Spoofing (i.i.d.),p=0.10,8.4386,8.4386,33.096,fp_pct
