seed,config,ld,fp_pct,bc_delay,human_review_mean,le2e
0,ppo_gomdp,13.6804,5.2728,1.2,3.0,17.8804
1,ppo_gomdp,15.1895,4.0237,1.2,3.0,19.3895
2,ppo_gomdp,15.7016,6.6715,1.2,3.0,19.9016
3,ppo_gomdp,15.4546,6.813,1.2,3.0,19.6546
4,ppo_gomdp,13.8849,5.7551,1.2,3.0,18.0849
5,ppo_gomdp,16.0042,6.4346,1.2,3.0,20.2042
6,ppo_gomdp,15.6188,7.7827,1.2,3.0,19.8188
7,ppo_gomdp,15.6225,7.1307,1.2,3.0,19.8225
8,ppo_gomdp,15.6643,6.7762,1.2,3.0,19.8643
9,ppo_gomdp,16.039,6.7562,1.2,3.0,20.239
10,ppo_gomdp,17.2263,5.1991,1.2,3.0,21.426299999999998
11,ppo_gomdp,14.2498,7.0335,1.2,3.0,18.4498
12,ppo_gomdp,14.9366,4.4113,1.2,3.0,19.1366
13,ppo_gomdp,16.7166,5.7326,1.2,3.0,20.9166
14,ppo_gomdp,13.4922,5.627,1.2,3.0,17.6922
15,ppo_gomdp,15.2269,4.331,1.2,3.0,19.4269
16,ppo_gomdp,14.1688,5.9552,1.2,3.0,18.3688
17,ppo_gomdp,14.8667,7.7155,1.2,3.0,19.0667
18,ppo_gomdp,15.3824,5.7245,1.2,3.0,19.5824
19,ppo_gomdp,12.8737,4.8538,1.2,3.0,17.0737
0,greedy_gomdp,16.4932,5.2406,1.2,3.0,20.6932
1,greedy_gomdp,18.414,3.7644,1.2,3.0,22.614
2,greedy_gomdp,19.0657,6.8935,1.2,3.0,23.2657
3,greedy_gomdp,18.7513,7.0608,1.2,3.0,22.9513
4,greedy_gomdp,16.7535,5.8105,1.2,3.0,20.9535
5,greedy_gomdp,19.4508,6.6136,1.2,3.0,23.6508
6,greedy_gomdp,18.9603,8.2068,1.2,3.0,23.1603
7,greedy_gomdp,18.965,7.4362,1.2,3.0,23.165
8,greedy_gomdp,19.0182,7.0173,1.2,3.0,23.2182
9,greedy_gomdp,19.495,6.9937,1.2,3.0,23.695
10,greedy_gomdp,21.0061,5.1535,1.2,3.0,25.2061
11,greedy_gomdp,17.2179,7.3214,1.2,3.0,21.4179
12,greedy_gomdp,18.0921,4.2225,1.2,3.0,22.292099999999998
13,greedy_gomdp,20.3575,5.784,1.2,3.0,24.5575
14,greedy_gomdp,16.2537,5.6592,1.2,3.0,20.453699999999998
15,greedy_gomdp,18.4615,4.1275,1.2,3.0,22.6615
16,greedy_gomdp,17.1149,6.047,1.2,3.0,21.314899999999998
17,greedy_gomdp,18.0031,8.1274,1.2,3.0,22.2031
18,greedy_gomdp,18.6595,5.7744,1.2,3.0,22.8595
19,greedy_gomdp,15.4666,4.7454,1.2,3.0,19.6666
0,ppo_cmdp,13.5094,6.7134,,3.0,16.5094
1,ppo_cmdp,14.8814,3.9881,,3.0,17.8814
2,ppo_cmdp,15.3469,9.765,,3.0,18.346899999999998
3,ppo_cmdp,15.1224,10.0738,,3.0,18.1224
4,ppo_cmdp,13.6954,7.7656,,3.0,16.6954
5,ppo_cmdp,15.622,9.2482,,3.0,18.622
6,ppo_cmdp,15.2717,12.1895,,3.0,18.2717
7,ppo_cmdp,15.275,10.7669,,3.0,18.275
8,ppo_cmdp,15.313,9.9935,,3.0,18.313000000000002
9,ppo_cmdp,15.6536,9.9499,,3.0,18.6536
10,ppo_cmdp,16.733,6.5527,,3.0,19.733
11,ppo_cmdp,14.0271,10.555,,3.0,17.0271
12,ppo_cmdp,14.6515,4.8338,,3.0,17.6515
13,ppo_cmdp,16.2697,7.7166,,3.0,19.2697
14,ppo_cmdp,13.3384,7.4862,,3.0,16.3384
15,ppo_cmdp,14.9154,4.6585,,3.0,17.915399999999998
16,ppo_cmdp,13.9535,8.2022,,3.0,16.9535
17,ppo_cmdp,14.5879,12.0429,,3.0,17.587899999999998
18,ppo_cmdp,15.0568,7.699,,3.0,18.056800000000003
19,ppo_cmdp,12.7761,5.7993,,3.0,15.7761
0,wcsac,13.0513,8.0779,,,13.0513
1,wcsac,14.6977,5.8068,,,14.6977
2,wcsac,15.2563,10.6208,,,15.2563
3,wcsac,14.9869,10.8781,,,14.9869
4,wcsac,13.2745,8.9547,,,13.2745
5,wcsac,15.5864,10.1902,,,15.5864
6,wcsac,15.166,12.6412,,,15.166
7,wcsac,15.17,11.4557,,,15.17
8,wcsac,15.2156,10.8113,,,15.2156
9,wcsac,15.6243,10.775,,,15.6243
10,wcsac,16.9196,7.9439,,,16.9196
11,wcsac,13.6725,11.2791,,,13.6725
12,wcsac,14.4218,6.5115,,,14.4218
13,wcsac,16.3636,8.9138,,,16.3636
14,wcsac,12.8461,8.7218,,,12.8461
15,wcsac,14.7384,6.3654,,,14.7384
16,wcsac,13.5842,9.3185,,,13.5842
17,wcsac,14.3455,12.5191,,,14.3455
18,wcsac,14.9081,8.8991,,,14.9081
19,wcsac,12.1714,7.316,,,12.1714
0,adaptive_ai,14.6513,21.0118,,,14.6513
1,adaptive_ai,16.2977,18.6271,,,16.2977
2,adaptive_ai,16.8563,23.6819,,,16.8563
3,adaptive_ai,16.5869,23.9521,,,16.5869
4,adaptive_ai,14.8745,21.9324,,,14.8745
5,adaptive_ai,17.1864,23.2297,,,17.1864
6,adaptive_ai,16.766,25.8033,,,16.766
7,adaptive_ai,16.77,24.5585,,,16.77
8,adaptive_ai,16.8156,23.8818,,,16.8156
9,adaptive_ai,17.2243,23.8437,,,17.2243
10,adaptive_ai,18.5196,20.8711,,,18.5196
11,adaptive_ai,15.2725,24.3731,,,15.2725
12,adaptive_ai,16.0218,19.3671,,,16.0218
13,adaptive_ai,17.9636,21.8895,,,17.9636
14,adaptive_ai,14.4461,21.6879,,,14.4461
15,adaptive_ai,16.3384,19.2137,,,16.3384
16,adaptive_ai,15.1842,22.3144,,,15.1842
17,adaptive_ai,15.9455,25.675,,,15.9455
18,adaptive_ai,16.5081,21.8741,,,16.5081
19,adaptive_ai,13.7714,20.2118,,,13.7714
0,static,37.4992,13.7134,,,37.4992
1,static,41.7523,10.9881,,,41.7523
2,static,43.1955,16.765,,,43.1955
3,static,42.4994,17.0738,,,42.4994
4,static,38.0757,14.7656,,,38.0757
5,static,44.0482,16.2482,,,44.0482
6,static,42.9622,19.1895,,,42.9622
7,static,42.9725,17.7669,,,42.9725
8,static,43.0903,16.9935,,,43.0903
9,static,44.1461,16.9499,,,44.1461
10,static,47.4922,13.5527,,,47.4922
11,static,39.1039,17.555,,,39.1039
12,static,41.0396,11.8338,,,41.0396
13,static,46.0559,14.7166,,,46.0559
14,static,36.969,14.4862,,,36.969
15,static,41.8576,11.6585,,,41.8576
16,static,38.8758,15.2022,,,38.8758
17,static,40.8426,19.0429,,,40.8426
18,static,42.296,14.699,,,42.296
19,static,35.226,12.7993,,,35.226
