seed,event,method,ld,fp_pct,gov_compliance_pct,region,event_year
0,California '20,PPO-GOMDP,20.2002,6.5544,100.0,california_2020,2020
1,California '20,PPO-GOMDP,16.6866,8.7172,100.0,california_2020,2020
2,California '20,PPO-GOMDP,27.8709,10.5583,100.0,california_2020,2020
3,California '20,PPO-GOMDP,23.2347,6.2308,100.0,california_2020,2020
4,California '20,PPO-GOMDP,19.0967,7.436,100.0,california_2020,2020
5,California '20,PPO-GOMDP,21.6338,4.7448,100.0,california_2020,2020
6,California '20,PPO-GOMDP,24.3528,10.3597,100.0,california_2020,2020
7,California '20,PPO-GOMDP,18.1664,11.1467,100.0,california_2020,2020
8,California '20,PPO-GOMDP,18.7013,9.6495,100.0,california_2020,2020
9,California '20,PPO-GOMDP,24.4806,8.475,100.0,california_2020,2020
10,California '20,PPO-GOMDP,20.7769,12.1703,100.0,california_2020,2020
11,California '20,PPO-GOMDP,26.2199,9.132,100.0,california_2020,2020
12,California '20,PPO-GOMDP,21.6727,7.2559,100.0,california_2020,2020
13,California '20,PPO-GOMDP,21.9009,8.7668,100.0,california_2020,2020
14,California '20,PPO-GOMDP,24.5898,7.0688,100.0,california_2020,2020
15,California '20,PPO-GOMDP,27.2727,9.3747,100.0,california_2020,2020
16,California '20,PPO-GOMDP,25.6573,8.4667,100.0,california_2020,2020
17,California '20,PPO-GOMDP,25.0621,5.1974,100.0,california_2020,2020
18,California '20,PPO-GOMDP,19.3785,9.8458,100.0,california_2020,2020
19,California '20,PPO-GOMDP,21.0452,4.849,100.0,california_2020,2020
0,California '20,Greedy-GOMDP,24.2877,6.5882,100.0,california_2020,2020
1,California '20,Greedy-GOMDP,20.1154,8.957,100.0,california_2020,2020
2,California '20,Greedy-GOMDP,33.3967,10.9734,100.0,california_2020,2020
3,California '20,Greedy-GOMDP,27.8913,6.2337,100.0,california_2020,2020
4,California '20,Greedy-GOMDP,22.9773,7.5538,100.0,california_2020,2020
5,California '20,Greedy-GOMDP,25.9901,4.6062,100.0,california_2020,2020
6,California '20,Greedy-GOMDP,29.2189,10.7559,100.0,california_2020,2020
7,California '20,Greedy-GOMDP,21.8726,11.6178,100.0,california_2020,2020
8,California '20,Greedy-GOMDP,22.5078,9.978,100.0,california_2020,2020
9,California '20,Greedy-GOMDP,29.3708,8.6916,100.0,california_2020,2020
10,California '20,Greedy-GOMDP,24.9726,12.7389,100.0,california_2020,2020
11,California '20,Greedy-GOMDP,31.4361,9.4113,100.0,california_2020,2020
12,California '20,Greedy-GOMDP,26.0364,7.3565,100.0,california_2020,2020
13,California '20,Greedy-GOMDP,26.3074,9.0113,100.0,california_2020,2020
14,California '20,Greedy-GOMDP,29.5004,7.1516,100.0,california_2020,2020
15,California '20,Greedy-GOMDP,32.6863,9.6771,100.0,california_2020,2020
16,California '20,Greedy-GOMDP,30.768,8.6826,100.0,california_2020,2020
17,California '20,Greedy-GOMDP,30.0612,5.1019,100.0,california_2020,2020
18,California '20,Greedy-GOMDP,23.3119,10.1931,100.0,california_2020,2020
19,California '20,Greedy-GOMDP,25.2911,4.7203,100.0,california_2020,2020
0,California '20,PPO-CMDP,19.8689,8.3557,100.0,california_2020,2020
1,California '20,PPO-CMDP,16.4652,11.1364,100.0,california_2020,2020
2,California '20,PPO-CMDP,27.3,13.5036,100.0,california_2020,2020
3,California '20,PPO-CMDP,22.8087,7.9396,100.0,california_2020,2020
4,California '20,PPO-CMDP,18.7999,9.4892,100.0,california_2020,2020
5,California '20,PPO-CMDP,21.2577,6.029,100.0,california_2020,2020
6,California '20,PPO-CMDP,23.8918,13.2482,100.0,california_2020,2020
7,California '20,PPO-CMDP,17.8987,14.26,100.0,california_2020,2020
8,California '20,PPO-CMDP,18.4169,12.3351,100.0,california_2020,2020
9,California '20,PPO-CMDP,24.0156,10.825,100.0,california_2020,2020
10,California '20,PPO-CMDP,20.4276,15.5761,100.0,california_2020,2020
11,California '20,PPO-CMDP,25.7005,11.6698,100.0,california_2020,2020
12,California '20,PPO-CMDP,21.2955,9.2576,100.0,california_2020,2020
13,California '20,PPO-CMDP,21.5165,11.2002,100.0,california_2020,2020
14,California '20,PPO-CMDP,24.1214,9.0171,100.0,california_2020,2020
15,California '20,PPO-CMDP,26.7204,11.9818,100.0,california_2020,2020
16,California '20,PPO-CMDP,25.1555,10.8144,100.0,california_2020,2020
17,California '20,PPO-CMDP,24.5789,6.6109,100.0,california_2020,2020
18,California '20,PPO-CMDP,19.0729,12.5875,62.0,california_2020,2020
19,California '20,PPO-CMDP,20.6875,6.163,62.0,california_2020,2020
0,California '20,Adaptive AI,18.1064,21.4413,0.0,california_2020,2020
1,California '20,Adaptive AI,14.9222,25.355,0.0,california_2020,2020
2,California '20,Adaptive AI,25.058,28.6865,0.0,california_2020,2020
3,California '20,Adaptive AI,20.8565,20.8557,0.0,california_2020,2020
4,California '20,Adaptive AI,17.1063,23.0366,0.0,california_2020,2020
5,California '20,Adaptive AI,19.4056,18.1668,0.0,california_2020,2020
6,California '20,Adaptive AI,21.8697,28.3271,0.0,california_2020,2020
7,California '20,Adaptive AI,16.2633,29.7511,0.0,california_2020,2020
8,California '20,Adaptive AI,16.748,27.0419,0.0,california_2020,2020
9,California '20,Adaptive AI,21.9856,24.9166,0.0,california_2020,2020
10,California '20,Adaptive AI,18.6291,31.6033,0.0,california_2020,2020
11,California '20,Adaptive AI,23.5618,26.1056,0.0,california_2020,2020
12,California '20,Adaptive AI,19.4409,22.7107,0.0,california_2020,2020
13,California '20,Adaptive AI,19.6477,25.4448,0.0,california_2020,2020
14,California '20,Adaptive AI,22.0845,22.3722,0.0,california_2020,2020
15,California '20,Adaptive AI,24.5159,26.5448,0.0,california_2020,2020
16,California '20,Adaptive AI,23.0519,24.9017,0.0,california_2020,2020
17,California '20,Adaptive AI,22.5125,18.9857,0.0,california_2020,2020
18,California '20,Adaptive AI,17.3617,27.3972,0.0,california_2020,2020
19,California '20,Adaptive AI,18.8722,18.3553,0.0,california_2020,2020
0,Mediterranean '21,PPO-GOMDP,21.2815,7.0219,100.0,mediterranean_2021,2021
