seed,attack_type,parameter,gomdp_fp,central_fp,p_breach_gomdp,p_breach_central
0,no_attack,,5.9079,23.8838,0.0,0.224
1,no_attack,,4.776,20.253,0.0,0.224
2,no_attack,,6.3098,19.8521,0.0,0.224
3,no_attack,,6.3548,21.3105,0.0,0.224
4,no_attack,,6.2666,23.0274,0.0,0.224
5,no_attack,,5.1697,19.975,0.0,0.224
6,no_attack,,4.7004,24.0999,0.0,0.224
7,no_attack,,5.0577,22.3001,0.0,0.224
8,no_attack,,6.805,23.0405,0.0,0.224
9,no_attack,,5.8973,21.7623,0.0,0.224
10,no_attack,,5.1792,22.5379,0.0,0.224
11,no_attack,,4.9441,22.6003,0.0,0.224
12,no_attack,,7.6409,16.8243,0.0,0.224
13,no_attack,,6.5508,24.6117,0.0,0.224
14,no_attack,,7.5759,23.2698,0.0,0.224
15,no_attack,,6.8528,22.0366,0.0,0.224
16,no_attack,,3.3925,26.1572,0.0,0.224
17,no_attack,,6.5403,23.773,0.0,0.224
18,no_attack,,7.1391,24.8595,0.0,0.224
19,no_attack,,6.9391,21.825,0.0,0.224
0,spoofing,p=0.05,6.5995,28.4958,0.0,0.268
1,spoofing,p=0.05,5.3647,24.3463,0.0,0.268
2,spoofing,p=0.05,7.038,23.8881,0.0,0.268
3,spoofing,p=0.05,7.0871,25.5549,0.0,0.268
4,spoofing,p=0.05,6.9908,27.5171,0.0,0.268
5,spoofing,p=0.05,5.7942,24.0285,0.0,0.268
6,spoofing,p=0.05,5.2823,28.7428,0.0,0.268
7,spoofing,p=0.05,5.6721,26.6858,0.0,0.268
8,spoofing,p=0.05,7.5781,27.532,0.0,0.268
9,spoofing,p=0.05,6.588,26.0712,0.0,0.268
10,spoofing,p=0.05,5.8045,26.9576,0.0,0.268
11,spoofing,p=0.05,5.5481,27.0289,0.0,0.268
12,spoofing,p=0.05,8.4901,20.4278,0.0,0.268
13,spoofing,p=0.05,7.3008,29.3277,0.0,0.268
14,spoofing,p=0.05,8.4192,27.794,0.0,0.268
15,spoofing,p=0.05,7.6303,26.3847,0.0,0.268
16,spoofing,p=0.05,3.8555,31.094,0.0,0.268
17,spoofing,p=0.05,7.2895,28.3691,0.0,0.268
18,spoofing,p=0.05,7.9427,29.6108,0.0,0.268
19,spoofing,p=0.05,7.7244,26.1429,0.0,0.268
0,spoofing,p=0.10,7.6912,33.2491,0.0,0.312
1,spoofing,p=0.10,6.3534,28.2351,0.0,0.312
2,spoofing,p=0.10,8.1662,27.6815,0.0,0.312
3,spoofing,p=0.10,8.2193,29.6955,0.0,0.312
4,spoofing,p=0.10,8.115,32.0665,0.0,0.312
5,spoofing,p=0.10,6.8187,27.8512,0.0,0.312
6,spoofing,p=0.10,6.2642,33.5475,0.0,0.312
7,spoofing,p=0.10,6.6864,31.062,0.0,0.312
8,spoofing,p=0.10,8.7513,32.0845,0.0,0.312
9,spoofing,p=0.10,7.6787,30.3194,0.0,0.312
10,spoofing,p=0.10,6.8299,31.3905,0.0,0.312
11,spoofing,p=0.10,6.5521,31.4766,0.0,0.312
12,spoofing,p=0.10,9.7393,23.5003,0.0,0.312
13,spoofing,p=0.10,8.4509,34.2543,0.0,0.312
14,spoofing,p=0.10,9.6624,32.4011,0.0,0.312
15,spoofing,p=0.10,8.8078,30.6982,0.0,0.312
