seed,p_err,fn_pct,fp_pct,gov_compliance_pct
0,0.05,2.9877,4.4571,100.0
1,0.05,1.5772,6.3386,100.0
2,0.05,2.0993,5.5965,100.0
3,0.05,2.9235,5.6294,100.0
4,0.05,4.1097,6.9972,100.0
5,0.05,1.1106,6.8957,100.0
6,0.05,1.3233,7.4385,100.0
7,0.05,2.6877,5.478,100.0
8,0.05,1.2376,5.4896,100.0
9,0.05,1.2334,7.2293,100.0
10,0.05,3.1217,7.6206,100.0
11,0.05,2.4809,3.6735,100.0
12,0.05,1.644,4.9217,100.0
13,0.05,2.5643,5.6307,100.0
14,0.05,2.0764,6.2463,100.0
15,0.05,1.7179,4.509,100.0
16,0.05,0.2447,6.8895,100.0
17,0.05,3.0043,5.9286,100.0
18,0.05,1.6919,7.3325,100.0
19,0.05,2.1639,5.6977,100.0
0,0.1,5.0836,4.0974,100.0
1,0.1,3.203,5.8078,100.0
2,0.1,3.899,5.1332,100.0
3,0.1,4.998,5.163,100.0
4,0.1,6.5796,6.4066,100.0
5,0.1,2.5808,6.3143,100.0
6,0.1,2.8644,6.8077,100.0
7,0.1,4.6836,5.0255,100.0
8,0.1,2.7501,5.036,100.0
9,0.1,2.7446,6.6175,100.0
10,0.1,5.2623,6.9733,100.0
11,0.1,4.4079,3.385,100.0
12,0.1,3.292,4.5197,100.0
13,0.1,4.5191,5.1643,100.0
14,0.1,3.8685,5.7239,100.0
15,0.1,3.3906,4.1446,100.0
16,0.1,1.4263,6.3087,100.0
17,0.1,5.1057,5.4351,100.0
18,0.1,3.3559,6.7113,100.0
19,0.1,3.9852,5.2252,100.0
0,0.15,7.2795,3.8376,100.0
1,0.15,4.9287,5.377,100.0
2,0.15,5.7988,4.7699,100.0
3,0.15,7.1725,4.7967,100.0
4,0.15,9.1495,5.9159,100.0
5,0.15,4.151,5.8328,100.0
6,0.15,4.5055,6.2769,100.0
7,0.15,6.7794,4.6729,100.0
8,0.15,4.3626,4.6824,100.0
9,0.15,4.3557,6.1058,100.0
10,0.15,7.5029,6.4259,100.0
11,0.15,6.4349,3.1965,100.0
12,0.15,5.04,4.2177,100.0
13,0.15,6.5738,4.7978,100.0
14,0.15,5.7606,5.3015,100.0
15,0.15,5.1632,3.8801,100.0
16,0.15,2.7079,5.8278,100.0
17,0.15,7.3072,5.0416,100.0
18,0.15,5.1199,6.1902,100.0
19,0.15,5.9065,4.8527,100.0
0,0.2,9.5754,3.0779,100.0
1,0.2,6.7545,4.4462,100.0
2,0.2,7.7985,3.9066,100.0
3,0.2,9.447,3.9304,100.0
4,0.2,11.8193,4.9253,100.0
5,0.2,5.8212,4.8514,100.0
6,0.2,6.2466,5.2462,100.0
7,0.2,8.9753,3.8204,100.0
8,0.2,6.0751,3.8288,100.0
9,0.2,6.0668,5.094,100.0
10,0.2,9.8434,5.3786,100.0
11,0.2,8.5619,2.508,100.0
12,0.2,6.8879,3.4158,100.0
13,0.2,8.7286,3.9314,100.0
14,0.2,7.7527,4.3791,100.0
15,0.2,7.0359,3.1157,100.0
16,0.2,4.0895,4.8469,100.0
17,0.2,9.6086,4.148,100.0
18,0.2,6.9838,5.1691,100.0
19,0.2,7.9278,3.9802,100.0
