seed,method,ld,fp_pct,compliance_pct
0,SafeDreamer,14.4561,9.7652,100.0
1,SafeDreamer,14.9127,7.7282,100.0
2,SafeDreamer,14.0094,9.2421,100.0
3,SafeDreamer,14.8814,8.8006,100.0
4,SafeDreamer,12.7857,7.7259,100.0
5,SafeDreamer,13.802,3.9843,100.0
6,SafeDreamer,14.9028,10.6904,100.0
7,SafeDreamer,17.2682,8.9648,100.0
8,SafeDreamer,16.1981,6.1917,100.0
9,SafeDreamer,15.5554,5.9653,100.0
10,SafeDreamer,15.0681,11.3275,100.0
11,SafeDreamer,15.0569,11.664,100.0
12,SafeDreamer,14.3576,8.0211,100.0
13,SafeDreamer,15.2626,8.6382,100.0
14,SafeDreamer,11.3013,8.832,100.0
15,SafeDreamer,16.1093,5.7137,100.0
16,SafeDreamer,14.2279,6.9618,100.0
17,SafeDreamer,15.76,7.3728,100.0
18,SafeDreamer,13.3471,9.7818,45.0
19,SafeDreamer,14.7373,4.6287,45.0
0,CCPO,14.6749,9.1066,100.0
1,CCPO,15.0963,7.2636,100.0
2,CCPO,14.2625,8.6334,100.0
3,CCPO,15.0675,8.2339,100.0
4,CCPO,13.133,7.2615,100.0
5,CCPO,14.0711,3.8762,100.0
6,CCPO,15.0872,9.9437,100.0
7,CCPO,17.2706,8.3824,100.0
8,CCPO,16.2829,5.8734,100.0
9,CCPO,15.6896,5.6686,100.0
10,CCPO,15.2397,10.5201,100.0
11,CCPO,15.2295,10.8245,100.0
12,CCPO,14.584,7.5286,100.0
13,CCPO,15.4193,8.0869,100.0
14,CCPO,11.7627,8.2623,100.0
15,CCPO,16.2009,5.441,100.0
16,CCPO,14.4642,6.5702,100.0
17,CCPO,15.8785,6.942,100.0
18,CCPO,13.6512,9.1217,100.0
19,CCPO,14.9345,4.4593,5.7
