seed,config,ld,fp_pct,injections_blocked,injections_total
0,m-of-n multisig,15.117,6.8081,100,100
1,m-of-n multisig,15.0551,4.7688,100,100
2,m-of-n multisig,15.8715,6.9297,100,100
3,m-of-n multisig,16.3825,3.47,100,100
4,m-of-n multisig,15.528,7.1351,100,100
5,m-of-n multisig,16.0282,6.8112,100,100
6,m-of-n multisig,15.0122,6.2914,100,100
7,m-of-n multisig,16.4256,4.7524,100,100
8,m-of-n multisig,14.843,6.3906,100,100
9,m-of-n multisig,14.1067,8.1361,100,100
10,m-of-n multisig,16.1228,7.0072,100,100
11,m-of-n multisig,14.2724,6.7373,100,100
12,m-of-n multisig,14.1197,4.3336,100,100
13,m-of-n multisig,14.525,5.1441,100,100
14,m-of-n multisig,16.1016,4.7405,100,100
15,m-of-n multisig,16.0693,5.5644,100,100
16,m-of-n multisig,14.2011,6.0051,100,100
17,m-of-n multisig,12.1994,6.9018,100,100
18,m-of-n multisig,13.4997,6.9422,100,100
19,m-of-n multisig,14.5193,7.1304,100,100
