attack_type,parameter,gomdp_fp,gomdp_fp_std,central_fp,central_fp_std,p_breach_gomdp,p_breach_central
no_attack,,6.0,1.1,22.4,2.1,0.0,0.224
spoofing,p=0.05,6.7,1.2,26.8,2.4,0.0,0.268
spoofing,p=0.10,7.8,1.3,31.2,2.9,0.0,0.312
spoofing,p=0.20,9.4,1.5,38.7,3.5,0.0,0.387
spoofing_strategic,p=0.10,8.6,1.4,34.5,3.2,0.0,0.345
injection,p_att=1.0,6.0,1.1,100.0,0.0,0.0,1.0
byzantine,f=0,6.0,1.1,,,0.004,0.05
byzantine,f=1,6.1,1.1,,,0.026,0.1
byzantine,f=2,6.2,1.1,,,0.148,0.2
byzantine,f=3,8.9,1.8,,,0.353,0.3
