region,event_year,method,ld_mean,ld_std,fp_mean,fp_std,governance_compliance_pct
california_2020,2020,PPO-GOMDP,22.4,3.2,8.3,2.1,100.0
california_2020,2020,Greedy-GOMDP,26.9,3.8,8.5,2.3,100.0
california_2020,2020,PPO-CMDP,22.0,3.1,10.6,2.7,93.1
california_2020,2020,Adaptive AI,20.1,2.9,24.6,3.8,0.0
mediterranean_2021,2021,PPO-GOMDP,24.1,4.1,9.1,2.5,100.0
mediterranean_2021,2021,Greedy-GOMDP,28.8,4.6,9.3,2.6,100.0
mediterranean_2021,2021,PPO-CMDP,23.6,3.9,11.4,3.0,92.4
mediterranean_2021,2021,Adaptive AI,21.7,3.5,26.1,4.2,0.0
australia_2019,2019,PPO-GOMDP,21.8,2.7,7.9,1.9,100.0
australia_2019,2019,Greedy-GOMDP,26.1,3.3,8.2,2.1,100.0
australia_2019,2019,PPO-CMDP,21.3,2.8,10.1,2.4,93.6
australia_2019,2019,Adaptive AI,19.8,2.6,23.9,3.5,0.0
