seed,config,n_uavs,ld,fp_pct
0,ppo_gomdp,40,9.4367,6.0859
1,ppo_gomdp,40,8.4829,4.793
2,ppo_gomdp,40,9.5274,7.1881
3,ppo_gomdp,40,8.725,5.82
4,ppo_gomdp,40,10.6614,6.3514
5,ppo_gomdp,40,9.1541,5.6976
6,ppo_gomdp,40,10.0442,5.3959
7,ppo_gomdp,40,11.283,5.8537
8,ppo_gomdp,40,10.2838,6.0085
9,ppo_gomdp,40,9.009,7.1124
10,ppo_gomdp,40,9.1699,5.8804
11,ppo_gomdp,40,9.1764,3.8002
12,ppo_gomdp,40,9.0003,5.3745
13,ppo_gomdp,40,10.7,5.1161
14,ppo_gomdp,40,10.6243,5.5802
15,ppo_gomdp,40,9.4915,4.778
16,ppo_gomdp,40,10.357,5.5228
17,ppo_gomdp,40,9.5935,5.624
18,ppo_gomdp,40,10.7181,5.2509
19,ppo_gomdp,40,10.5615,6.7665
0,greedy_gomdp,40,9.6913,6.2341
1,greedy_gomdp,40,8.6183,4.7796
2,greedy_gomdp,40,9.7933,7.4742
3,greedy_gomdp,40,8.8906,5.935
4,greedy_gomdp,40,11.069,6.5328
5,greedy_gomdp,40,9.3734,5.7973
6,greedy_gomdp,40,10.3748,5.4579
7,greedy_gomdp,40,11.7684,5.9729
8,greedy_gomdp,40,10.6443,6.1471
9,greedy_gomdp,40,9.2101,7.3889
10,greedy_gomdp,40,9.3911,6.003
11,greedy_gomdp,40,9.3985,3.6628
12,greedy_gomdp,40,9.2003,5.4338
13,greedy_gomdp,40,11.1124,5.1431
14,greedy_gomdp,40,11.0273,5.6652
15,greedy_gomdp,40,9.753,4.7628
16,greedy_gomdp,40,10.7267,5.6006
17,greedy_gomdp,40,9.8676,5.7145
18,greedy_gomdp,40,11.1328,5.2948
19,greedy_gomdp,40,10.9567,6.9998
0,ppo_cmdp,40,9.2367,8.1788
1,ppo_cmdp,40,8.2829,6.2394
2,ppo_cmdp,40,9.3274,9.8322
3,ppo_cmdp,40,8.525,7.78
4,ppo_cmdp,40,10.4614,8.5771
5,ppo_cmdp,40,8.9541,7.5964
6,ppo_cmdp,40,9.8442,7.1438
7,ppo_cmdp,40,11.083,7.8305
8,ppo_cmdp,40,10.0838,8.0628
9,ppo_cmdp,40,8.809,9.7185
10,ppo_cmdp,40,8.9699,7.8706
11,ppo_cmdp,40,8.9764,4.7504
12,ppo_cmdp,40,8.8003,7.1117
13,ppo_cmdp,40,10.5,6.7242
14,ppo_cmdp,40,10.4243,7.4203
15,ppo_cmdp,40,9.2915,6.217
16,ppo_cmdp,40,10.157,7.3341
17,ppo_cmdp,40,9.3935,7.486
18,ppo_cmdp,40,10.5181,6.9264
19,ppo_cmdp,40,10.3615,9.1997
0,wcsac,40,9.5367,9.3753
1,wcsac,40,8.5829,7.1127
2,wcsac,40,9.6274,11.3042
3,wcsac,40,8.825,8.91
4,wcsac,40,10.7614,9.8399
5,wcsac,40,9.2541,8.6958
6,wcsac,40,10.1442,8.1678
7,wcsac,40,11.383,8.9689
8,wcsac,40,10.3838,9.2399
9,wcsac,40,9.109,11.1716
10,wcsac,40,9.2699,9.0157
11,wcsac,40,9.2764,5.3754
12,wcsac,40,9.1003,8.1304
13,wcsac,40,10.8,7.6782
14,wcsac,40,10.7243,8.4904
15,wcsac,40,9.5915,7.0865
16,wcsac,40,10.457,8.3898
17,wcsac,40,9.6935,8.567
18,wcsac,40,10.8181,7.9142
19,wcsac,40,10.6615,10.5663
0,adaptive_ai,40,10.8913,22.8647
1,adaptive_ai,40,9.8183,19.6324
2,adaptive_ai,40,10.9933,25.6204
3,adaptive_ai,40,10.0906,22.2
4,adaptive_ai,40,12.269,23.5284
5,adaptive_ai,40,10.5734,21.894
6,adaptive_ai,40,11.5748,21.1397
7,adaptive_ai,40,12.9684,22.2842
8,adaptive_ai,40,11.8443,22.6713
9,adaptive_ai,40,10.4101,25.4309
10,adaptive_ai,40,10.5911,22.351
11,adaptive_ai,40,10.5985,17.1506
12,adaptive_ai,40,10.4003,21.0862
13,adaptive_ai,40,12.3124,20.4403
14,adaptive_ai,40,12.2273,21.6005
15,adaptive_ai,40,10.953,19.595
16,adaptive_ai,40,11.9267,21.4569
17,adaptive_ai,40,11.0676,21.71
18,adaptive_ai,40,12.3328,20.7774
19,adaptive_ai,40,12.1567,24.5662
0,static,40,35.1739,15.7682
1,static,40,31.9549,12.8592
2,static,40,35.4798,18.2483
3,static,40,32.7718,15.17
4,static,40,39.3071,16.3656
5,static,40,34.2202,14.8946
6,static,40,37.2243,14.2157
7,static,40,41.4051,15.2457
8,static,40,38.0329,15.5942
9,static,40,33.7304,18.0778
10,static,40,34.2734,15.3059
11,static,40,34.2955,10.6256
12,static,40,33.701,14.1676
13,static,40,39.4373,13.5863
14,static,40,39.182,14.6305
15,static,40,35.3589,12.8255
16,static,40,38.28,14.5012
17,static,40,35.7029,14.729
18,static,40,39.4985,13.8896
19,static,40,38.9701,17.2995
