seed,config,ld,fp_pct,bc_delay,human_review_mean,le2e,fn_pct,compliance_pct
0,ppo_gomdp,13.6804,5.2728,1.2,3.0,17.8804,2.3741,100.0
1,ppo_gomdp,15.1895,4.0237,1.2,3.0,19.3895,3.528,100.0
2,ppo_gomdp,15.7016,6.6715,1.2,3.0,19.9016,2.6215,100.0
3,ppo_gomdp,15.4546,6.813,1.2,3.0,19.6546,1.0948,100.0
4,ppo_gomdp,13.8849,5.7551,1.2,3.0,18.0849,1.4596,100.0
5,ppo_gomdp,16.0042,6.4346,1.2,3.0,20.2042,2.5507,100.0
6,ppo_gomdp,15.6188,7.7827,1.2,3.0,19.8188,1.8719,100.0
7,ppo_gomdp,15.6225,7.1307,1.2,3.0,19.8225,2.7992,100.0
8,ppo_gomdp,15.6643,6.7762,1.2,3.0,19.8643,0.4483,100.0
9,ppo_gomdp,16.039,6.7562,1.2,3.0,20.239,3.4894,100.0
10,ppo_gomdp,17.2263,5.1991,1.2,3.0,21.4263,3.3185,100.0
11,ppo_gomdp,14.2498,7.0335,1.2,3.0,18.4498,0.8188,100.0
12,ppo_gomdp,14.9366,4.4113,1.2,3.0,19.1366,1.6829,100.0
13,ppo_gomdp,16.7166,5.7326,1.2,3.0,20.9166,1.4522,100.0
14,ppo_gomdp,13.4922,5.627,1.2,3.0,17.6922,1.6281,100.0
15,ppo_gomdp,15.2269,4.331,1.2,3.0,19.4269,2.6517,100.0
16,ppo_gomdp,14.1688,5.9552,1.2,3.0,18.3688,1.5401,100.0
17,ppo_gomdp,14.8667,7.7155,1.2,3.0,19.0667,1.2381,100.0
18,ppo_gomdp,15.3824,5.7245,1.2,3.0,19.5824,2.4726,100.0
19,ppo_gomdp,12.8737,4.8538,1.2,3.0,17.0737,2.9594,100.0
0,greedy_gomdp,16.4932,5.2406,1.2,3.0,20.6932,2.6046,100.0
1,greedy_gomdp,18.414,3.7644,1.2,3.0,22.614,3.8866,100.0
2,greedy_gomdp,19.0657,6.8935,1.2,3.0,23.2657,2.8794,100.0
3,greedy_gomdp,18.7513,7.0608,1.2,3.0,22.9513,1.1831,100.0
4,greedy_gomdp,16.7535,5.8105,1.2,3.0,20.9535,1.5885,100.0
5,greedy_gomdp,19.4508,6.6136,1.2,3.0,23.6508,2.8008,100.0
6,greedy_gomdp,18.9603,8.2068,1.2,3.0,23.1603,2.0466,100.0
7,greedy_gomdp,18.965,7.4362,1.2,3.0,23.165,3.0768,100.0
8,greedy_gomdp,19.0182,7.0173,1.2,3.0,23.2182,0.4648,100.0
9,greedy_gomdp,19.495,6.9937,1.2,3.0,23.695,3.8438,100.0
10,greedy_gomdp,21.0061,5.1535,1.2,3.0,25.2061,3.6539,100.0
11,greedy_gomdp,17.2179,7.3214,1.2,3.0,21.4179,0.8764,100.0
12,greedy_gomdp,18.0921,4.2225,1.2,3.0,22.2921,1.8366,100.0
13,greedy_gomdp,20.3575,5.784,1.2,3.0,24.5575,1.5802,100.0
14,greedy_gomdp,16.2537,5.6592,1.2,3.0,20.4537,1.7757,100.0
15,greedy_gomdp,18.4615,4.1275,1.2,3.0,22.6615,2.913,100.0
16,greedy_gomdp,17.1149,6.047,1.2,3.0,21.3149,1.6779,100.0
17,greedy_gomdp,18.0031,8.1274,1.2,3.0,22.2031,1.3424,100.0
18,greedy_gomdp,18.6595,5.7744,1.2,3.0,22.8595,2.714,100.0
19,greedy_gomdp,15.4666,4.7454,1.2,3.0,19.6666,3.2549,100.0
0,ppo_cmdp,13.7364,6.7134,,3.0,16.7364,2.9046,100.0
1,ppo_cmdp,14.1091,3.9881,,3.0,17.1091,4.1866,100.0
2,ppo_cmdp,15.6044,9.765,,3.0,18.6044,3.1794,100.0
3,ppo_cmdp,15.1212,10.0738,,3.0,18.1212,1.4831,100.0
4,ppo_cmdp,15.2071,7.7656,,3.0,18.2071,1.8885,100.0
5,ppo_cmdp,13.9276,9.2482,,3.0,16.9276,3.1008,100.0
6,ppo_cmdp,14.9288,12.1895,,3.0,17.9288,2.3466,100.0
7,ppo_cmdp,15.9599,10.7669,,3.0,18.9599,3.3768,100.0
8,ppo_cmdp,16.4634,9.9935,,3.0,19.4634,0.7648,100.0
9,ppo_cmdp,14.9931,9.9499,,3.0,17.9931,4.1438,100.0
10,ppo_cmdp,14.2398,6.5527,,3.0,17.2398,3.9539,100.0
11,ppo_cmdp,14.3028,10.555,,3.0,17.3028,1.1764,100.0
12,ppo_cmdp,13.6451,4.8338,,3.0,16.6451,2.1366,100.0
13,ppo_cmdp,15.8338,7.7166,,3.0,18.8338,1.8802,100.0
14,ppo_cmdp,13.6866,7.4862,,3.0,16.6866,2.0757,100.0
15,ppo_cmdp,15.2027,4.6585,,3.0,18.2027,3.213,100.0
16,ppo_cmdp,14.2455,8.2022,,3.0,17.2455,1.9779,100.0
17,ppo_cmdp,15.4182,12.0429,,3.0,18.4182,1.6424,70.0
18,ppo_cmdp,16.4849,7.699,,3.0,19.4849,3.014,70.0
19,ppo_cmdp,12.8895,5.7993,,3.0,15.8895,3.5549,16.0
0,wcsac,13.0513,8.0779,,,13.0513,4.2264,100.0
1,wcsac,14.6977,5.8068,,,14.6977,6.0213,100.0
2,wcsac,15.2563,10.6208,,,15.2563,4.6112,100.0
3,wcsac,14.9869,10.8781,,,14.9869,2.2363,100.0
4,wcsac,13.2745,8.9547,,,13.2745,2.8039,100.0
5,wcsac,15.5864,10.1902,,,15.5864,4.5011,100.0
